slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
craigto01,Torrey Craig,SMALL FORWARD,30,MILWAUKEE BUCKS,18,201,10.3,0.48,0.478,0.043,7.1,15.1,11.2,9.5,2.1,3.1,9.6,10.8,0.1,0.3,0.4,0.097,-2.2,1.6,-0.6,0.1,False
craigto01,Torrey Craig,SMALL FORWARD,30,PHOENIX SUNS,32,602,15.5,0.603,0.464,0.11,8.4,20.4,14.5,7.4,1.6,2.8,9.5,15.5,1.0,0.8,1.8,0.145,0.4,0.4,0.8,0.4,False
crowdja01,Jae Crowder,POWER FORWARD,30,PHOENIX SUNS,60,1648,11.8,0.574,0.772,0.152,2.2,16.9,9.7,10.0,1.4,1.5,9.5,15.7,1.4,1.9,3.3,0.097,0.3,0.8,1.1,1.3,False
culveja01,Jarrett Culver,SHOOTING GUARD,21,MINNESOTA TIMBERWOLVES,34,499,8.8,0.476,0.315,0.286,7.1,15.8,11.3,6.8,1.6,1.6,12.9,18.2,-0.4,0.3,-0.1,-0.006,-4.5,-1.1,-5.6,-0.5,False
curryse01,Seth Curry,SHOOTING GUARD,30,PHILADELPHIA 76ERS,57,1638,12.9,0.607,0.507,0.139,0.7,8.3,4.6,13.6,1.3,0.4,10.0,17.1,2.3,1.7,4.0,0.118,0.1,-0.4,-0.3,0.7,False
curryst01,Stephen Curry,POINT GUARD,32,GOLDEN STATE WARRIORS,63,2152,26.3,0.655,0.587,0.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,6.5,2.5,9.0,0.201,8.3,0.4,8.7,5.8,False
darlina01,Nate Darling,SHOOTING GUARD,22,CHARLOTTE HORNETS,7,26,8.2,0.541,1.0,0.429,4.1,0.0,2.1,5.1,0.0,3.8,10.7,15.4,0.0,0.0,0.0,0.038,-1.5,-2.5,-4.0,0.0,False
davisan02,Anthony Davis,POWER FORWARD,27,LOS ANGELES LAKERS,36,1162,22.1,0.556,0.163,0.349,6.0,21.5,13.8,16.4,1.9,4.5,9.5,29.2,1.3,2.4,3.7,0.152,2.6,2.2,4.8,2.0,False
davised01,Ed Davis,CENTER,31,MINNESOTA TIMBERWOLVES,23,299,13.1,0.487,0.0,0.273,16.1,26.0,20.8,9.0,2.1,3.8,12.4,7.9,0.5,0.4,0.8,0.135,-3.3,1.1,-2.2,0.0,False
daviste02,Terence Davis,SHOOTING GUARD,23,TORONTO RAPTORS,34,493,11.1,0.537,0.581,0.086,1.9,13.2,7.4,11.6,1.7,1.4,11.7,21.6,-0.2,0.4,0.3,0.026,-1.8,-0.8,-2.6,-0.1,False
daviste02,Terence Davis,SHOOTING GUARD,23,SACRAMENTO KINGS,27,581,14.0,0.57,0.589,0.15,2.1,14.9,8.4,11.3,2.2,1.0,11.5,21.9,0.2,0.3,0.6,0.047,-0.1,-0.9,-0.9,0.2,False
deckga01,Gabriel Deck,POWER FORWARD,25,OKLAHOMA CITY THUNDER,10,212,16.1,0.548,0.224,0.328,7.8,11.9,9.8,17.3,1.8,0.0,7.3,16.6,0.4,0.1,0.5,0.12,0.0,-0.4,-0.4,0.1,False
dedmode01,Dewayne Dedmon,CENTER,31,MIAMI HEAT,16,210,24.5,0.735,0.077,0.415,15.5,31.0,23.4,9.6,2.1,3.0,14.5,19.3,0.7,0.4,1.1,0.256,1.2,0.5,1.7,0.2,False
dellama01,Matthew Dellavedova,POINT GUARD,30,CLEVELAND CAVALIERS,13,224,7.3,0.312,0.446,0.071,2.9,9.2,6.0,35.3,0.9,0.4,9.4,12.4,-0.1,0.1,0.0,0.005,-4.5,-1.9,-6.4,-0.3,False
derozde01,DeMar DeRozan,POWER FORWARD,31,SAN ANTONIO SPURS,61,2056,22.0,0.591,0.08,0.478,2.0,11.6,6.7,32.0,1.3,0.6,9.7,26.1,5.9,1.5,7.4,0.172,3.2,-0.1,3.1,2.6,False
diakima01,Mamadi Diakite,POWER FORWARD,24,MILWAUKEE BUCKS,14,141,12.3,0.477,0.2,0.35,6.2,18.7,12.7,7.0,2.3,3.8,6.1,14.6,0.1,0.2,0.3,0.102,-3.3,0.9,-2.4,0.0,False
diallha01,Hamidou Diallo,SHOOTING GUARD,22,OKLAHOMA CITY THUNDER,32,761,15.0,0.536,0.138,0.444,5.0,17.7,11.3,16.4,1.9,1.4,12.1,22.5,0.3,0.8,1.0,0.065,-2.1,0.6,-1.5,0.1,False
diallha01,Hamidou Diallo,SMALL FORWARD,22,DETROIT PISTONS,20,465,13.1,0.549,0.237,0.393,5.2,20.6,12.8,8.3,1.1,2.2,11.7,21.6,0.1,0.5,0.6,0.059,-2.4,-0.8,-3.2,-0.1,False
dienggo01,Gorgui Dieng,CENTER,31,MEMPHIS GRIZZLIES,22,371,19.2,0.682,0.444,0.398,7.9,20.2,14.0,10.6,2.2,3.4,14.8,17.0,0.9,0.6,1.5,0.19,1.8,1.6,3.3,0.5,False
dienggo01,Gorgui Dieng,CENTER,31,SAN ANTONIO SPURS,16,181,19.0,0.648,0.4,0.436,6.9,18.0,12.3,15.0,2.4,0.9,13.2,18.2,0.4,0.2,0.7,0.175,2.0,1.5,3.5,0.2,False
dinwisp01,Spencer Dinwiddie,SHOOTING GUARD,27,BROOKLYN NETS,3,64,10.1,0.536,0.438,0.375,0.0,21.3,11.2,17.6,1.5,1.4,21.2,16.1,0.0,0.1,0.1,0.045,-2.4,2.6,0.2,0.0,False
divindo01,Donte DiVincenzo,SHOOTING GUARD,24,MILWAUKEE BUCKS,66,1814,13.0,0.542,0.574,0.118,4.9,16.7,11.0,14.2,1.9,0.7,12.5,16.7,1.5,2.1,3.6,0.095,-0.2,0.4,0.3,1.0,False
doncilu01,Luka Dončić,POINT GUARD,21,DALLAS MAVERICKS,66,2262,25.3,0.587,0.406,0.349,2.7,22.9,12.8,44.1,1.4,1.5,15.3,36.0,5.1,2.6,7.7,0.163,6.1,0.7,6.8,5.1,False
dortlu01,Luguentz Dort,SHOOTING GUARD,21,OKLAHOMA CITY THUNDER,52,1543,10.1,0.513,0.515,0.257,2.5,10.3,6.4,8.8,1.4,1.1,10.0,21.7,-0.6,1.0,0.3,0.011,-2.6,-0.9,-3.5,-0.6,False
dotsoda01,Damyean Dotson,SHOOTING GUARD,26,CLEVELAND CAVALIERS,46,907,8.1,0.499,0.543,0.123,0.6,11.1,5.7,15.1,0.9,0.4,12.0,16.9,-0.4,0.3,0.0,-0.002,-3.4,-1.4,-4.8,-0.6,False
dotsode01,Devon Dotson,POINT GUARD,21,CHICAGO BULLS,11,50,19.3,0.548,0.333,0.0,4.5,6.6,5.5,21.4,3.9,0.0,0.0,18.2,0.1,0.1,0.2,0.177,-0.1,2.2,2.1,0.1,False
