slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
willima02,Marvin Williams,POWER FORWARD,33,CHARLOTTE HORNETS,41,808,11.8,0.593,0.557,0.238,2.0,13.2,7.4,7.8,1.6,2.5,9.7,14.0,0.8,0.6,1.5,0.087,-1.6,0.4,-1.3,0.1,False
willima02,Marvin Williams,POWER FORWARD,33,MILWAUKEE BUCKS,17,321,9.8,0.566,0.684,0.123,4.9,17.1,11.4,7.2,1.4,2.2,11.8,8.7,0.3,0.6,0.9,0.139,-1.6,2.5,0.9,0.2,False
williro04,Robert Williams,CENTER,22,BOSTON CELTICS,29,388,23.1,0.728,0.0,0.386,11.2,24.0,17.7,10.1,2.7,8.4,16.9,13.6,1.1,1.0,2.0,0.253,0.8,4.3,5.1,0.7,False
willini01,Nigel Williams-Goss,POINT GUARD,25,UTAH JAZZ,10,50,8.1,0.415,0.438,0.125,4.6,8.5,6.6,16.4,2.9,1.7,15.1,17.4,-0.1,0.1,0.0,0.017,-5.2,1.3,-3.9,0.0,False
willizi01,Zion Williamson,POWER FORWARD,19,NEW ORLEANS PELICANS,24,668,24.1,0.616,0.039,0.494,10.1,13.7,11.9,13.3,1.1,1.1,11.9,30.5,1.5,0.4,2.0,0.141,3.5,-1.4,2.1,0.7,False
wilsodj01,D.J. Wilson,POWER FORWARD,23,MILWAUKEE BUCKS,37,363,8.2,0.475,0.553,0.136,3.5,20.5,12.5,9.1,0.4,1.2,12.0,18.1,-0.3,0.6,0.3,0.046,-4.1,0.0,-4.0,-0.2,False
winslju01,Justise Winslow,SHOOTING GUARD,23,MIAMI HEAT,11,352,8.5,0.44,0.209,0.209,5.3,17.5,11.6,18.7,1.0,1.4,14.6,20.6,-0.4,0.4,0.0,-0.004,-3.5,-0.1,-3.6,-0.1,False
woodch01,Christian Wood,POWER FORWARD,24,DETROIT PISTONS,62,1325,23.2,0.659,0.276,0.476,8.8,24.8,16.7,7.6,1.3,3.4,12.0,23.0,3.6,1.5,5.1,0.183,3.5,-0.3,3.1,1.7,False
wrighde01,Delon Wright,POINT GUARD,27,DALLAS MAVERICKS,73,1570,15.4,0.554,0.309,0.243,4.7,13.8,9.4,21.0,2.6,1.2,13.8,14.4,2.6,1.8,4.4,0.134,0.0,1.9,1.9,1.5,False
wrighju02,Justin Wright-Foreman,POINT GUARD,22,UTAH JAZZ,4,45,8.8,0.437,0.5,0.2,0.0,11.8,6.1,23.0,2.2,0.0,12.1,24.1,-0.1,0.1,0.0,-0.008,-7.0,-2.0,-9.0,-0.1,False
youngth01,Thaddeus Young,POWER FORWARD,31,CHICAGO BULLS,64,1591,13.3,0.521,0.369,0.12,6.2,16.1,10.9,11.3,2.8,1.4,13.9,19.7,-0.2,2.1,1.9,0.058,-1.4,0.2,-1.2,0.3,False
youngtr01,Trae Young,POINT GUARD,21,ATLANTA HAWKS,60,2120,23.9,0.595,0.455,0.448,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,5.3,0.6,5.9,0.133,6.2,-2.3,3.9,3.1,False
zelleco01,Cody Zeller,CENTER,27,CHARLOTTE HORNETS,58,1341,18.8,0.576,0.157,0.374,12.6,21.2,16.7,11.3,1.5,1.7,11.9,20.8,2.3,1.3,3.6,0.129,0.2,-0.8,-0.6,0.5,False
zellety01,Tyler Zeller,CENTER,30,SAN ANTONIO SPURS,2,4,22.4,0.25,0.0,0.0,80.9,26.9,53.9,0.0,0.0,0.0,0.0,43.2,0.0,0.0,0.0,-0.075,-0.3,-22.1,-22.4,0.0,False
zizican01,Ante Žižić,CENTER,23,CLEVELAND CAVALIERS,22,221,16.4,0.597,0.0,0.264,9.0,24.4,16.6,4.2,1.5,1.9,11.1,17.5,0.3,0.2,0.5,0.106,-1.7,-1.5,-3.2,-0.1,False
zubaciv01,Ivica Zubac,CENTER,22,LOS ANGELES CLIPPERS,72,1326,21.7,0.651,0.005,0.431,15.9,26.4,21.3,9.1,0.6,4.4,11.8,16.4,4.4,2.3,6.6,0.241,1.9,0.9,2.8,1.6,False
